Id,Label,Group,Num Links,Links_in,links_out,Timestamp
1,@fibaworld,top_mentions,151,139,12,1
2,@nba,top_mentions,41,6,35,2
4,@justinbieber,top_mentions,411,411,0,4
5,@usabasketball,top_mentions,21,21,0,1
6,@kingjames,top_mentions,1,1,0,1
7,@kdthunderup,top_mentions,2,2,0,3
11,@breakingnews,top_mentions,1,1,0,9
12,@50cent,top_mentions,1,0,1,1
13,@reallamarodom,top_mentions,5,4,1,2
15,@khloekardashian,top_mentions,2,1,1,1
16,@cbb_basquete,top_mentions,6,1,5,2
17,@carmeloanthony,top_mentions,2,1,1,2
19,@lscola4,top_mentions,1,1,0,1
21,@rrdream,top_mentions,17,2,15,11
22,@fiba2010turkiye,top_mentions,14,12,2,4
27,@elizabethsibel,top_mentions,4,4,0,9
28,@marshaambrosius,top_mentions,1,1,0,10
29,@unbounce,top_mentions,4,1,3,5
30,@jeskeets,top_mentions,12,1,11,1
33,@99designs,top_mentions,2,2,0,5
35,@sinanguler,top_mentions,11,10,1,3
40,@pelinalaca123,top_mentions,14,0,14,9
43,@coachozyer,top_mentions,23,15,8,3
46,@spainfansjustin,top_mentions,131,85,46,4
49,@lithuaniabasket,top_mentions,23,11,12,1
56,@mensbasketball,top_twitters,1,0,1,10
60,@crashoverride_,top_twitters,10,0,10,4
66,@burki_rock,top_twitters,42,6,36,2
69,@desireejustinb,top_twitters,346,68,278,4
74,@serdarito,top_twitters,24,11,13,1
75,@giilloo,top_twitters,128,0,128,4
77,@funa1018,top_twitters,10,0,10,2
80,@vampyrse,top_twitters,7,2,5,2
82,@neopanich,top_twitters,20,0,20,1
88,@micronewsblog,top_twitters,2,1,1,5
89,@jordaniantweet,top_twitters,58,0,58,3
93,@tatasport,top_twitters,1,0,1,9
94,@eyluleva,top_twitters,19,0,19,4
96,@julesbeliebs,top_twitters,110,0,110,14
97,@nbaturks,top_twitters,24,2,22,1
98,@jordanianbasket,top_twitters,57,57,0,5
