Source,Target,Weight,Timestamp
1,1,4,2
1,2,2,2
1,5,3,5
1,7,1,3
1,13,1,3
1,15,1,1
1,87,1,3
1,107,1,3
1,129,1,3
1,181,1,3
1,218,1,6
1,302,2,1
1,337,1,6
1,338,1,3
1,356,1,15
1,401,1,4
1,507,1,4
1,582,1,14
1,643,1,3
1,969,1,4
1,1035,1,6
1,1177,1,6
1,1458,1,3
1,1545,1,3
2,1,18,4
2,5,15,2
2,7,1,16
2,19,1,11
2,87,1,11
5,166,1,3
9,840,1,11
12,6,1,1
13,13,1,9
13,291,1,9
15,13,1,8
16,1,5,2
17,17,1,16
17,592,1,16
21,1,15,11
21,1385,1,15
22,22,2,6
22,265,1,15
28,931,1,13
29,29,1,5
29,33,2,5
30,1,10,4
30,2,1,8
30,96,1,10
30,123,5,6
30,147,1,12
30,150,1,8
30,459,2,2
30,473,1,13
30,673,1,15
30,696,1,12
30,920,1,15
30,1035,1,7
30,1256,1,6
30,1285,1,4
30,1356,1,13
35,35,1,8
35,581,1,8
36,667,1,4
37,400,1,13
38,57,1,14
38,180,1,14
40,1,6,12
40,2,2,16
40,4,2,15
40,5,2,16
40,21,1,16
40,22,1,9
40,130,2,16
40,406,1,15
40,454,1,15
40,1246,1,9
43,1,1,6
43,16,1,3
43,27,1,13
43,43,4,3
43,169,1,3
43,261,2,3
43,332,1,4
43,341,1,3
43,351,2,4
43,428,1,3
43,441,1,6
43,656,1,6
43,1158,1,4
43,1327,4,4
46,4,15,4
46,46,9,4
46,61,22,4
49,1,3,2
49,30,1,5
49,49,7,7
49,194,4,5
49,254,1,15
49,264,1,4
49,401,3,13
49,673,1,16
49,707,3,7
49,760,3,7
49,887,2,15
49,1223,1,2
50,55,8,14
51,141,1,12
51,225,1,15
53,53,2,1
53,621,1,15
53,651,1,15
53,1113,2,1
54,54,1,13
55,31,8,15
55,50,6,14
57,53,1,12
61,4,156,4
61,46,76,4
61,61,46,4
62,1,1,15
63,63,1,2
63,575,1,2
64,117,1,15
66,66,5,10
67,133,8,4
70,122,2,13
70,323,2,13
70,637,1,13
70,1013,1,14
