Id,Label,Group,Num Links,Links_in,links_out,Timestamp
1,@fibaworld,top_mentions,434,403,31,1
2,@nba,top_mentions,85,49,36,2
3,@joejonas,top_mentions,5,5,0,13
4,@justinbieber,top_mentions,192,192,0,4
5,@usabasketball,top_mentions,76,75,1,1
6,@kingjames,top_mentions,72,72,0,1
7,@kdthunderup,top_mentions,4,4,0,3
9,@ozfinn,top_mentions,3,2,1,11
10,@2010misterchip,top_mentions,11,11,0,4
11,@breakingnews,top_mentions,2,2,0,9
12,@50cent,top_mentions,4,3,1,1
13,@reallamarodom,top_mentions,23,21,2,2
14,@officialgboi_,top_mentions,2,2,0,10
15,@khloekardashian,top_mentions,17,16,1,1
16,@cbb_basquete,top_mentions,8,3,5,2
17,@carmeloanthony,top_mentions,11,9,2,2
19,@lscola4,top_mentions,10,10,0,1
20,@lilduval,top_mentions,2,2,0,1
21,@rrdream,top_mentions,29,13,16,11
22,@fiba2010turkiye,top_mentions,36,33,3,4
23,@addthis,top_mentions,5,5,0,1
24,@chrisbrown,top_mentions,4,4,0,7
26,@greggdoyelcbs,top_mentions,3,3,0,9
27,@elizabethsibel,top_mentions,9,9,0,9
28,@marshaambrosius,top_mentions,1,0,1,10
29,@unbounce,top_mentions,4,1,3,5
30,@jeskeets,top_mentions,49,20,29,1
31,@follow_maria,top_mentions,8,8,0,15
32,@ardakutsal,top_mentions,2,2,0,15
33,@99designs,top_mentions,2,2,0,5
34,@trecet,top_mentions,1,1,0,13
35,@sinanguler,top_mentions,31,29,2,3
36,@ogochocinco,top_mentions,2,1,1,4
37,@adaimiel,top_mentions,2,1,1,8
38,@sportsguy33,top_mentions,5,3,2,14
40,@pelinalaca123,top_mentions,24,5,19,9
41,@bokinachbar,top_mentions,7,7,0,2
42,@the_real_shaq,top_mentions,1,1,0,1
43,@coachozyer,top_mentions,43,21,22,3
44,@dwadeofficial,top_mentions,1,1,0,8
46,@spainfansjustin,top_mentions,131,85,46,4
47,@handeyenerr,top_mentions,5,5,0,15
48,@twitturk,top_mentions,2,2,0,15
49,@lithuaniabasket,top_mentions,67,37,30,1
50,@bek_rt,top_mentions,14,6,8,14
51,@tribundergi,Normal_users,6,4,2,5
53,@petethamelnyt,Normal_users,17,11,6,1
54,@blkice3,Normal_users,4,3,1,8
55,@dare_2_follow,Normal_users,22,8,14,14
56,@reflexionfidel,Normal_users,4,4,0,17
57,@richarddeitsch,Normal_users,7,6,1,3
61,@desireejustinb,top_twitters,346,68,278,4
62,@algomaubball,Normal_users,2,1,1,8
63,@jaythewanted,Normal_users,5,3,2,2
64,@cenkakyol,Normal_users,4,3,1,10
65,@germanyff,Normal_users,11,11,0,11
66,@iilovemeduhh,Normal_users,13,8,5,9
67,@alanstein,Normal_users,11,3,8,2
70,@ioninteractive,Normal_users,11,4,7,5
71,@espn4d,Normal_users,3,1,2,13
72,@ludacris,Normal_users,6,6,0,9
73,@imjonassister,Normal_users,40,40,0,2
