equipo,#,Jugador,Name,Repeat,Porcentaje,edad,altura,posiciÛn,Club
ANG,14,"Lutonda, M.",Lutonda,21,0.01,39,185,G,"Primero De Agosto, ANG"
ANG,13,"Almeida, C.",Almeida,7,0,34,193,G/F,"Primero De Agosto, ANG"
ANG,15,"Mingas, E.",Mingas,3,0,31,200,F,"Petro Luanda, ANG"
ANG,10,"Gomes, J.",Gomes,7,0,30,193,SF,"Primero De Agosto, ANG"
ANG,6,"Morais, C.",Morais,1,0,25,190,G,"Libolo, ANG"
ANG,7,"Bonifacio, D.",Bonifacio,0,0,26,189,G,"Libolo, ANG"
ANG,4,"Cipriano, O.",Cipriano,16,0.01,28,194,F,"Libolo, ANG"
ANG,9,"Jeronimo, V.",Jeronimo,0,0,32,203,PF,"Primero De Agosto, ANG"
ANG,8,"Paulo, L.",Paulo,16,0.01,24,198,C,"Libolo, ANG"
ANG,12,"Ambrosio, F.",Ambrosio,18,0.01,23,201,F,"Primero De Agosto, ANG"
ANG,5,"Fortes, R.",Fortes,1,0,26,193,G,"Petro Luanda, ANG"
ANG,11,"Mbunga, H.",Mbunga,3,0,25,206,C,"Petro Atletico Luanda, ANG"
ARG,7,"Oberto, F.",Oberto,23,0.01,35,207,C,"Washington Wizards, NBA"
ARG,12,"Gutierrez, L.",Gutierrez,16,0.01,32,200,PF,"Penarol de Mar Del Plata, LNB"
ARG,4,"Scola, L.",Scola,658,0.31,30,207,PF,"Houston Rockets, NBA"
ARG,14,"Jasen, H.",Jasen,12,0.01,32,199,SF,"Estudiantes, ACB"
ARG,15,"Kammerichs, Federico",Kammerichs,1,0,30,204,SF,"Regatas, LNB"
ARG,5,"Prigioni, P.",Prigioni,24,0.01,33,186,PG,"Real Madrid, ACB"
ARG,10,"Delfino, C.",Delfino,73,0.03,28,196,SG,"Milwaukee Bucks, NBA"
ARG,6,"Gonzalez, R.",Gonzalez,22,0.01,32,208,C,"Quimsa, LNB"
ARG,11,"Quinteros, P.",Quinteros,10,0,31,188,SG,"Zaragoza, LEB"
ARG,8,"Gutierrez, J.",Gutierrez,16,0.01,27,205,C,"Granada, ACB"
ARG,9,"Cequeira, L.",Cequeira,15,0.01,25,180,PG,"Sionista de Parana, LNB"
AUS,14,"Nielsen, M.",Nielsen,5,0,32,209,PF,"Olympiacos, A1 Ethniki"
AUS,13,"Andersen, D.",Andersen,20,0.01,30,212,PF/C,"Toronto Raptors, NBA"
AUS,15,"Maric, A.",Maric,5,0,26,210,C,"Panathinaikos, A1 Ethniki"
AUS,9,"Markovic, S.",Markovic,12,0.01,25,188,G,"Crvena Zvezda, Superliga"
AUS,4,"Martin, D.",Martin,96,0.05,26,188,G,"Perth Wildcats, NBL"
AUS,8,"Newley, B.",Newley,1,0,25,198,SG,"Lietuvos Rytas, LKL"
AUS,6,"Gibson, A.",Gibson,22,0.01,24,188,PG,"Gold Coast Blaze, NBL"
AUS,12,"Baynes, A.",Baynes,2,0,24,205,PF,"Lietuvas Rytas, LKL"
AUS,7,"Ingles, J.",Ingles,6,0,23,203,SG/SF,"CB Granada, ACB"
AUS,11,"Worthington, M.",Worthington,2,0,27,202,F,"Brose Baskets, BBL"
AUS,10,"Barlow, D.",Barlow,0,0,27,205,SG/SF,"CAI Zaragoza, ACB"
AUS,5,"Mills, P.",Mills,22,0.01,22,181,PG,"Portland Trail Blazers, NBA"
BRA,4,"Machado, M.",Machado,28,0.01,35,200,SF,"CR Flamengo, NBB"
BRA,12,"Giovannoni, G.",Giovannoni,4,0,30,204,F,"Universo/BRB, NBB"
BRA,15,"Splitter, T.",Splitter,83,0.04,25,211,PF/C,"San Antonio Spurs, NBA"
BRA,11,"Varejao, A.",Varejao,20,0.01,28,208,PF/C,"Cleveland Cavaliers, NBA"
BRA,8,"Garcia, A.",Garcia,34,0.02,30,191,G,"Universo/BRB, NBB"
BRA,10,"Barbosa, L.",Barbosa,52,0.02,28,191,SG,"Phoenix Suns, NBA"
BRA,14,"Vinicius, M.",Vinicius,21,0.01,26,203,F,"Sutor Basket Montegranaro, Lega A"
BRA,5,"Dos Santos, N.",Santos,19,0.01,27,185,PG,"Universo/BRB, NBB"
BRA,6,"Becker, M.",Becker,4,0,27,208,PF/C,"Sao Jose, NBB"
BRA,9,"Huertas, M.",Huertas,156,0.07,29,191,PG,"Lagun Aro Bilbao, ACB"
BRA,13,"Batista, J.",Batista,43,0.02,18,210,C,"Le Mans, LNB"
BRA,7,"Neto, R.",Neto,2,0,27,184,G,"Minas TÍnis Clube, CBB"
CAN,8,"Brown, D.",Brown,289,0.14,26,195,G,"Ginebrai, PBL"
CAN,14,"Kendall, L.",Kendall,25,0.01,25,209,F,"Maroussi, A1 Ethniki"
CAN,11,"Doornekamp, A.",Doornekamp,6,0,24,201,F,"Juvecaserta, Lega A"
CAN,13,"Shepherd, J.",Shepherd,10,0,24,198,F,"Osnabrueck, Pro A"
CAN,10,"Rautins, A.",Rautins,41,0.02,27,195,G,"New York Knicks, NBA"
CAN,4,"Anderson, J.",Anderson,79,0.04,27,188,G,"Triumph Lyubertsy, Superleague A"
CAN,7,"Bucknor, J.",Bucknor,1,0,28,201,F,"Clermont, LNB"
CAN,15,"Anthony, J.",Anthony,318,0.15,21,206,C,"Miami Heat, NBA"
CAN,12,"Sacre, R.",Sacre,3,0,26,213,C,"Gonzaga, NCAA"
CAN,6,"Bell, R.",Bell,227,0.11,26,195,G,"Tapiolan Honka, Korisliiga"
CAN,9,"Famutimi, O.",Famutimi,3,0,19,198,F,"Oyak Renault, TBL"
CAN,5,"Olynyk, K.",Olynyk,8,0,32,211,F,"Gonzaga, NCAA"
CHN,8,"Jin, L.",Jin,25,0.01,31,190,SG,"Guangsha Lions, CBA"
CHN,14,"Wang, Z.",Wang,28,0.01,30,213,C,"Bayi Rockets, CBA"
CHN,5,"Liu, W.",Liu,7,0,23,190,PG/SG,"Shanghai Sharks, CBA"
CHN,11,"Yi, J.",Jianlian Yi,1,0,25,213,PF/C,"New Jersey Nets, NBA"
CHN,9,"Sun, Y.",Yue Sun,0,0,27,206,G/SF,"Beijing Aoshen Olympian, ABA"
CHN,7,"Wang, S.",Wang,28,0.01,21,198,SG/SF,"Guangdong, CBA"
CHN,13,"Su, W.",Wei Su,0,0,21,211,C,"Guangdong, CBA"
CHN,4,"Ding, J.",Ding,29,0.01,21,204,C,"Wanma Cyclones, CBA"
CHN,15,"Zhou, P.",Zhou,7,0,23,207,SF,"Southern Tigers, CBA"
CHN,10,"Zhang, Z.",Zhang,0,0,17,221,C,"Berkeley, NCAA"
CHN,12,"Guo, A.",Guo,7,0,20,192,PG,"Panpan Hunters, CBA"
CHN,6,"Yu, S.",Shulong Yu,7,0,25,185,PG/SG,"Northeast Tigers, CBA"
CIV,7,"Amagou, P.",Amagou,0,0,30,185,PG,"Chorale Roanne, LNB"
CIV,8,"Konate, K.",Konate,7,0,29,187,SG,"BC Abidjan, CIV"
CIV,9,"Lamizana, M.",Lamizana,9,0,29,208,PF,"Sporting Beirut, Div A"
CIV,13,"Tape, E.",Tape,13,0.01,22,198,PF,"Rodez, LNB"
CIV,14,"Edi, G.",Edi,45,0.02,27,196,G,"Midlands College, NJCAA"
CIV,11,"Assie, B.",Assie,2,0,29,202,PF,"San Martin Corrientes, LNB"
CIV,15,"Kone, M.",Kone,8,0,23,211,C,"Erdemir, TBL"
CIV,5,"Diabate, M.",Diabate,3,0,21,182,PG,"Chorale de Roanne Basket, LNB"
CIV,4,"Abouo, C.",Abouo,23,0.01,28,196,SG/SF,"Brigham Young University, NCAA"
CIV,10,"N'Diaye, I.",N'Diaye,0,0,22,198,F,"Lausanne, LNBA"
CIV,6,"Soumahoro, I.",Soumahoro,0,0,25,196,SF,"Strasbourg, LNB"
CIV,12,"Kale, J.",Kale,14,0.01,28,203,PF,"Phoenix Hagen, BBL"
CRO,6,"Popovic, M.",Popovic,14,0.01,27,185,PG,"Unics Kazan, Superleague A"
CRO,12,"Loncar, K.",Loncar,4,0,32,210,C,"Unics Kazan, Superleague A"
CRO,5,"Kus, D.",Kus,86,0.04,26,192,G,"Benetton Treviso, Lega A"
