Source,Target,Weight,Timestamp
1,1,4,2
1,2,2,2
1,5,3,5
1,7,1,3
1,13,1,3
1,15,1,1
2,1,18,4
2,5,15,2
2,7,1,16
2,19,1,11
12,6,1,1
13,13,1,9
15,13,1,8
16,1,5,2
17,17,1,16
21,1,15,11
22,22,2,6
29,29,1,5
29,33,2,5
30,1,10,4
30,2,1,8
35,35,1,8
40,1,6,12
40,2,2,16
40,4,2,15
40,5,2,16
40,21,1,16
40,22,1,9
43,1,1,6
43,16,1,3
43,27,1,13
43,43,4,3
43,66,1,3
46,4,15,4
46,46,9,4
46,69,22,4
49,1,3,2
49,30,1,5
49,49,7,7
49,74,1,4
56,28,1,10
60,1,10,4
66,1,6,2
66,27,2,9
66,35,7,3
66,43,11,3
66,66,1,4
66,74,8,4
66,97,1,6
69,4,156,4
69,46,76,4
69,69,46,4
74,1,2,4
74,35,2,4
74,49,4,1
74,66,3,4
74,74,2,4
75,4,128,4
77,1,10,2
80,1,5,2
82,1,18,1
82,2,1,6
82,5,1,6
88,88,1,5
89,80,1,3
89,98,57,5
93,11,1,9
94,1,8,4
94,21,1,12
94,22,9,4
94,27,1,12
96,4,110,14
97,1,18,4
97,13,1,2
97,66,1,6
97,80,1,15
97,97,1,15
