Name,Date,Count,Percentage
Durant,8/28/10,18,0.24
Durant,8/29/10,68,0.53
Durant,8/30/10,106,0.83
Durant,8/31/10,16,0.12
Durant,9/1/10,29,0.21
Durant,9/2/10,13,0.1
Durant,9/3/10,6,0.06
Durant,9/4/10,5,0.05
Durant,9/5/10,4,0.04
Durant,9/6/10,22,0.23
Durant,9/7/10,10,0.06
Durant,9/8/10,1,0.01
Durant,9/9/10,67,0.49
Durant,9/10/10,42,0.35
Durant,9/11/10,819,4.72
Durant,9/12/10,835,3.94
Durant,9/13/10,180,2.65
Scola,8/28/10,15,0.2
Scola,8/29/10,28,0.22
Scola,8/30/10,21,0.17
Scola,8/31/10,4,0.03
Scola,9/1/10,9,0.07
Scola,9/2/10,64,0.48
Scola,9/3/10,8,0.08
Scola,9/4/10,5,0.05
Scola,9/5/10,1,0.01
Scola,9/6/10,1,0.01
Scola,9/7/10,283,1.72
Scola,9/8/10,34,0.36
Scola,9/9/10,49,0.35
Scola,9/10/10,9,0.08
Scola,9/11/10,11,0.06
Scola,9/12/10,105,0.5
Scola,9/13/10,11,0.16
